COL1,COL2
coupon_Carry out & Take away,1.235695035
coupon_Bar,1.127070676
coupon_Restaurant(<20),1.123526896
coupon_Coffee House,1.120295402
CoffeeHouse_never,1.08353232
toCoupon_GEQ15min,1.020184352
Bar_never,0.927326138
expiration_1d,0.82579304
expiration_2h,0.811893458
time_6PM,0.723723756
Restaurant20To50_less1,0.71759409
RestaurantLessThan20_1~3,0.712758928
education_Bachelors degree,0.70988158
CoffeeHouse_1~3,0.705131865
CarryAway_1~3,0.696978869
CarryAway_4~8,0.681055431
education_Some college - no degree,0.668479714
has_children,0.656465288
temperature_80,0.638094856
CoffeeHouse_less1,0.634753079
gender_Male,0.633914395
gender_Female,0.632492859
Bar_less1,0.632446135
RestaurantLessThan20_4~8,0.630758994
Restaurant20To50_1~3,0.628901103
maritalStatus_Single,0.61644856
Bar_1~3,0.611868054
coupon_Restaurant(20-50),0.59499551
passanger_Friend(s),0.593836458
maritalStatus_Married partner,0.591343947
time_10AM,0.591119772
temperature_55,0.576862976
age_21,0.576804049
age_26,0.57587613
time_10PM,0.572504364
income_$37500 - $49999,0.562663559
toCoupon_GEQ25min,0.560714662
income_$25000 - $37499,0.545822403
destination_No Urgent Place,0.545043792
age_31,0.54151812
CarryAway_less1,0.526324907
occupation_Unemployed,0.524049899
maritalStatus_Unmarried partner,0.522184032
Restaurant20To50_never,0.521509423
RestaurantLessThan20_less1,0.520391513
income_$50000 - $62499,0.518612691
passanger_Alone,0.513139361
CoffeeHouse_4~8,0.505589442
education_Graduate degree (Masters or Doctorate),0.500533954
occupation_Student,0.495100203
income_$100000 or More,0.494904765
income_$12500 - $24999,0.493510831
occupation_Computer & Mathematical,0.47324662
occupation_Sales & Related,0.463887261
age_50plus,0.46187553
time_2PM,0.461143472
weather_Sunny,0.4572824
age_36,0.43713841
destination_Home,0.426699246
direction_same,0.425458003
direction_opp,0.422474485
CoffeeHouse_gt8,0.406121542
temperature_30,0.404686851
CarryAway_gt8,0.402780559
Bar_4~8,0.398162532
income_$75000 - $87499,0.387611555
income_$87500 - $99999,0.386141983
occupation_Education&Training&Library,0.385931367
income_$62500 - $74999,0.366101391
education_Associates degree,0.36309537
time_7AM,0.362562199
destination_Work,0.362402822
age_41,0.350819108
RestaurantLessThan20_gt8,0.327953127
passanger_Kid(s),0.323922658
education_High School Graduate,0.320655013
income_Less than $12500,0.320627648
occupation_Management,0.31966649
Restaurant20To50_4~8,0.299480699
passanger_Partner,0.297144697
occupation_Arts Design Entertainment Sports & Media,0.294105133
weather_Rainy,0.265010857
weather_Snowy,0.2646402
occupation_Office & Administrative Support,0.262297688
age_46,0.259629273
occupation_Business & Financial,0.23343022
occupation_Retired,0.222597155
age_below21,0.205262242
Bar_gt8,0.195259008
maritalStatus_Divorced,0.185521849
occupation_Healthcare Practitioners & Technical,0.15830884
occupation_Legal,0.15683834
occupation_Architecture & Engineering,0.151096411
occupation_Life Physical Social Science,0.142782225
occupation_Healthcare Support,0.142405345
occupation_Food Preparation & Serving Related,0.138689826
occupation_Transportation & Material Moving,0.129498138
Restaurant20To50_gt8,0.116068369
occupation_Community & Social Services,0.115359793
RestaurantLessThan20_never,0.100614908
occupation_Personal Care & Service,0.097630231
occupation_Installation Maintenance & Repair,0.096501458
occupation_Construction & Extraction,0.092832885
occupation_Protective Service,0.086191476
CarryAway_never,0.082614835
maritalStatus_Widowed,0.074303155
occupation_Production Occupations,0.054215816
education_Some High School,0.038100792
occupation_Farming Fishing & Forestry,0.026987423
occupation_Building & Grounds Cleaning & Maintenance,0.024111438
